year,title,authors,venue,pdf_url,pdf_file,size_bytes
2026,Taming the Recent-Data Bias: Towards Robust Time Series Forecasting with Global Context,"Longlong Xu, Zeyan Li, Xiao He, Zhaoyang Yu, Changhua Pei, Zhe Xie, Zijun Dou, Tieying Zhang*, Dan Pei","The 43rd International Conference on Machine Learning (ICML 2026), Seoul, South Korea, July 6 to July 11, 2026",https://netman.aiops.org/wp-content/uploads/2026/05/ICML26_TameR_20260520.pdf,ICML26_TameR_20260520.pdf,2213511
2026,Smart Eye: LLM-Guided Proposer–Verifier Framework for Industrial-Scale Log Anomaly Detection,"Changhua Pei, Hang Cui, Jingjing Li, Yuxuan Li, Zihan Liu, Xinyuan Liao, Cenjie Hu, Jiabao Wang, Zheyuan Li, Zexin Wang, Haotian Si, Ke Xiang, Gaogang Xie, Dan Pei WWW 2026, Dubai, UAE, Apr 13, 2026 – Apr 17, 2026 (CCF A)",,https://netman.aiops.org/wp-content/uploads/2026/04/2510.04710v1_11.pdf,2510.04710v1_11.pdf,7632909
2026,"See More, Forecast Better and Faster: Enhancing Time Series Foundation Models via Inference-Time Plug-and-Play Downsampling","Longlong Xu, Zeyan Li, Xiao He, Zhaoyang Yu, Dazhong Wen, Mingze Sun, Changhua Pei, Dan Pei*","The 43rd International Conference on Machine Learning (ICML 2026), Seoul, South Korea, July 6 to July 11, 2026",https://netman.aiops.org/wp-content/uploads/2026/05/ICML26_SPRINT_20260522.pdf,ICML26_SPRINT_20260522.pdf,3213360
2026,PerfScout: An Adaptive Workload Generator in Software Performance Testing,"Yongqian Sun, Qingliang Zhang, Xiao Xiong, Mengyao Li, Yimin Zuo, Shenglin Zhang*, Xidao Wen, Wenwei Gu, Huandong Zhuang, Bowen Deng, Ruiyuan Wan, Dan Pei","IEEE/ACM International Conference on Software Engineering (ICSE-SEIP), April 12-18 2026, Rio de Janeiro(CCF-A)",https://netman.aiops.org/wp-content/uploads/2026/04/PerfScout_to_ICSE_26_Camera_Ready.pdf,PerfScout_to_ICSE_26_Camera_Ready.pdf,2010071
2026,FoundRoot: Towards Foundation Model for Root Cause Analysis via Structured Deep Thinking,"Zhe Xie, Zeyan Li, Xiao He, Shenglin Zhang, Longlong Xu, Yuzhuo Yang, Tieying Zhang*, Jianjun Chen, Rui Shi, Dan Pei The 48th IEEE/ACM International Conference on Software Engineering (ICSE), April 12-18 2026, Rio de Janeiro (CCF-A)",,https://netman.aiops.org/wp-content/uploads/2026/01/foundroot_camera_ready.pdf,foundroot_camera_ready.pdf,1462477
2026,Eagle: Leveraging Operations Documents for Comprehensive Benchmark Question Generation,"Yuhe Liu, Changhua Pei, Hang Wang, Longlong Xu, Xiaogang Dong, Zhen Feng, Li Zheng, Kehang Ji, Dan Pei ACM International Conference on the Foundations of Software Engineering Industry Track (FSE-Industry 2026), Sun 5 &#8211; Thu 9 July 2026 Montreal, Canada",(CCF A),https://netman.aiops.org/wp-content/uploads/2026/04/Eagle__FSE_indu_camera_ready_0326.pdf,Eagle__FSE_indu_camera_ready_0326.pdf,1758073
2026,DIVER: A Robust Text-to-SQL System with Dynamic Interactive Value Linking and Evidence Reasoning,"Yafeng Nan, Zirui Zhuang, Qi Qi, Guojun Chu, Jianxin Liao, Dan Pei, Jingyu Wang SIGMOD2026, Bengaluru, India, on May 31 &#8211; June 05, 2026",(CCF A) 2025:,https://netman.aiops.org/wp-content/uploads/2026/04/2602.12064v1.pdf,2602.12064v1.pdf,2108695
2026,Bridging the Delay: Lag-Aware Spatio-Temporal Causal Inference for Microservice Root Cause Analysis,"Shenglin Zhang, Junhua Kuang, Yimeng Zhang, Sibo Xia, Jintao Feng, Jingyu Wang, Wenwei Gu, Yongqian Sun∗, Wei Li, Liping Zhang, Dan Pei ACM International Conference on the Foundations of Software Engineering Industry Track (FSE-Industry 2026), Sun 5 &#8211; Thu 9 July 2026 Montreal, Canada",(CCF A),https://netman.aiops.org/wp-content/uploads/2026/04/fse2026-industry-paper77.pdf,fse2026-industry-paper77.pdf,2281176
2026,AutoDA-Timeseries: Automated Data Augmentation for Time Series,"Zijun Dou, Zhenhe Yao, Zhe Xie, Xidao Wen, Tong Xiao, Dan Pei The 14th International Conference on Learning Representation (ICLR), Rio de Janeiro, Brazil April 23rd &#8211; 27th, 2026 (CCF-A)",,https://netman.aiops.org/wp-content/uploads/2026/04/AutoDA-Timeseries-AI-TIME-v2.pdf,AutoDA-Timeseries-AI-TIME-v2.pdf,3262576
2026,A Benchmark for Language Models in Real-World System Building,"Weilin Jin, Chenyu Zhao, Zeshun Huang, Chaoyun Zhang, Qingwei Lin, Chetan Bansal, Saravan Rajmohan, Shenglin Zhang, Yongqian Sun, Dan Pei, Yifan Wu, Tong Jia, Ying Li, Zhonghai Wu, Minghua Ma (ICSE2026-SEIP), Rio de Janeiro, Brazil, April 12-18, 2026",(CCF A),https://netman.aiops.org/wp-content/uploads/2026/04/2601.12927v1.pdf,2601.12927v1.pdf,1057802
