patent_id,title,application_no,application_date,publication_no,publication_date,assignee,pub_kind,pdf_file,google_patents_url
CN110532550A,一种基于日志词频树的智能系统日志解析处理方法,201910742035.5,2019.08.13,CN110532550A,2019.12.03,北京必示科技有限公司,发明专利申请,CN110532550A.pdf,https://patents.google.com/patent/CN110532550A/zh
CN110837953A,一种自动化异常实体定位分析方法,201911019400.6,2019.10.24,CN110837953A,2020.02.25,北京必示科技有限公司,发明专利申请,CN110837953A.pdf,https://patents.google.com/patent/CN110837953A/zh
CN111858231B,一种基于运维监控的单指标异常检测方法,202010395406.X,2020.05.11,CN111858231B,2024.07.26,北京必示科技有限公司,发明专利,CN111858231B.pdf,https://patents.google.com/patent/CN111858231B/zh
CN111309565B,告警处理方法、装置、电子设备以及计算机可读存储介质,202010405424.1,2020.05.14,CN111309565B,2020.08.18,北京必示科技有限公司,发明专利,CN111309565B.pdf,https://patents.google.com/patent/CN111309565B/zh
CN111338915B,动态告警定级方法、装置、电子设备以及存储介质,202010411127.8,2020.05.15,CN111338915B,2020.09.01,北京必示科技有限公司,发明专利,CN111338915B.pdf,https://patents.google.com/patent/CN111338915B/zh
CN111444247B,一种基于KPI指标的根因定位方法、装置及存储介质,202010551260.3,2020.06.17,CN111444247B,2023.10.17,北京必示科技有限公司,发明专利,CN111444247B.pdf,https://patents.google.com/patent/CN111444247B/zh
CN111506637A,一种基于KPI指标的多维异常检测方法、装置及存储介质,202010551259.0,2020.06.17,CN111506637A,2020.08.07,北京必示科技有限公司,发明专利申请,CN111506637A.pdf,https://patents.google.com/patent/CN111506637A/zh
CN111539493A,一种告警预测方法、装置、电子设备及存储介质,202010653081.0,2020.07.08,CN111539493A,2020.08.14,北京必示科技有限公司,发明专利申请,CN111539493A.pdf,https://patents.google.com/patent/CN111539493A/zh
CN111597070B,一种故障定位方法、装置、电子设备及存储介质,202010727337.8,2020.07.27,CN111597070B,2020.11.27,北京必示科技有限公司,发明专利,CN111597070B.pdf,https://patents.google.com/patent/CN111597070B/zh
CN111737095B,批处理任务时间监控方法、装置、电子设备及存储介质,202010775307.4,2020.08.05,CN111737095B,2025.01.14,北京必示科技有限公司,发明专利,CN111737095B.pdf,https://patents.google.com/patent/CN111737095B/zh
CN112231193A,时序数据容量预测方法、装置、电子设备及存储介质,202011431810.4,2020.12.10,CN112231193A,2021.01.15,北京必示科技有限公司,发明专利申请,CN112231193A.pdf,https://patents.google.com/patent/CN112231193A/zh
CN112559237B,运维系统排障方法、装置、服务器和存储介质,202110188400.X,2021.02.19,CN112559237B,2021.07.06,北京必示科技有限公司,发明专利,CN112559237B.pdf,https://patents.google.com/patent/CN112559237B/zh
CN112559238B,用于Oracle数据库的排障策略生成方法装置、处理器和存储介质,202110188401.4,2021.02.19,CN112559238B,2021.05.11,北京必示科技有限公司,发明专利,CN112559238B.pdf,https://patents.google.com/patent/CN112559238B/zh
CN112905671A,时间序列异常处理方法、装置、电子设备及存储介质,202110313319.X,2021.03.24,CN112905671A,2021.06.04,北京必示科技有限公司,发明专利申请,CN112905671A.pdf,https://patents.google.com/patent/CN112905671A/zh
CN112862019A,一种动态筛选非周期性异常方法CN112862019A,202110445385.2,2021.04.25,CN112862019A,2021.05.28,北京必示科技有限公司,发明专利申请,CN112862019A.pdf,https://patents.google.com/patent/CN112862019A/zh
CN113434193B,根因变更的定位方法和装置,202110986349.7,2021.08.26,CN113434193B,2021.12.07,北京必示科技有限公司,发明专利,CN113434193B.pdf,https://patents.google.com/patent/CN113434193B/zh
CN113448808B,一种批处理任务中单任务时间的预测方法、系统及存储介质,202111000535.5,2021.08.30,CN113448808B,2021.11.12,北京必示科技有限公司,发明专利,CN113448808B.pdf,https://patents.google.com/patent/CN113448808B/zh
CN113568991B,一种基于动态风险的告警处理方法及系统,202111102880.X,2021.09.22,CN113568991B,2022.02.08,北京必示科技有限公司,发明专利,CN113568991B.pdf,https://patents.google.com/patent/CN113568991B/zh
CN113962273B,一种基于多指标的时间序列异常检测方法、系统及存储介质,202111102855.1,2021.09.22,CN113962273B,2022.03.18,北京必示科技有限公司,发明专利,CN113962273B.pdf,https://patents.google.com/patent/CN113962273B/zh
CN113722616A,一种多维度时间序列数据的自动洞见发现方法,202111118231.9,2021.09.24,CN113722616A,2021.11.30,北京必示科技有限公司,发明专利申请,CN113722616A.pdf,https://patents.google.com/patent/CN113722616A/zh
CN113900844B,一种基于服务码级别的故障根因定位方法、系统及存储介质,202111127982.7,2021.09.26,CN113900844B,2024.07.09,北京必示科技有限公司,发明专利,CN113900844B.pdf,https://patents.google.com/patent/CN113900844B/zh
CN113806495A,一种离群机器检测方法和装置,202111212495.0,2021.10.19,CN113806495A,2021.12.17,北京必示科技有限公司,发明专利申请,CN113806495A.pdf,https://patents.google.com/patent/CN113806495A/zh
CN114721861B,一种基于日志差异化比对的故障定位方法与系统,202210563123.0,2022.05.23,CN114721861B,2022.10.04,北京必示科技有限公司,发明专利,CN114721861B.pdf,https://patents.google.com/patent/CN114721861B/zh
CN115062144B,一种基于知识库和集成学习的日志异常检测方法与系统,202210578307.4,2022.05.26,CN115062144B,2025.01.21,北京必示科技有限公司,发明专利,CN115062144B.pdf,https://patents.google.com/patent/CN115062144B/zh
CN114818643A,一种保留特定业务信息的日志模板提取方法,202210702569.7,2022.06.21,CN114818643A,2022.07.29,北京必示科技有限公司,发明专利申请,CN114818643A.pdf,https://patents.google.com/patent/CN114818643A/zh
CN114785666B,一种网络故障排查方法与系统,202210709991.5,2022.06.22,CN114785666B,2022.10.04,北京必示科技有限公司,发明专利,CN114785666B.pdf,https://patents.google.com/patent/CN114785666B/zh
CN115391160B,一种异常变更检测方法、装置、设备及存储介质,202211314800.1,2022.10.26,CN115391160B,2023.04.07,北京必示科技有限公司,发明专利,CN115391160B.pdf,https://patents.google.com/patent/CN115391160B/zh
CN115392403A,一种异常变更检测方法、装置、设备及存储介质,202211314781.2,2022.10.26,CN115392403A,2022.11.25,北京必示科技有限公司,发明专利申请,CN115392403A.pdf,https://patents.google.com/patent/CN115392403A/zh
CN116302762A,一种基于红蓝对抗的故障定位应用的评测方法与系统,202310532288.6,2023.05.12,CN116302762A,2023.06.23,北京必示科技有限公司,发明专利申请,CN116302762A.pdf,https://patents.google.com/patent/CN116302762A/zh
CN116820826A,一种基于调用链的根因定位方法、装置、设备及存储介质,202311083879.6,2023.08.28,CN116820826A,2023.09.29,北京必示科技有限公司,发明专利申请,CN116820826A.pdf,https://patents.google.com/patent/CN116820826A/zh
